date,open,high,low,close,adj_close,volume
2014-12-08,45.273998,45.963600,45.273998,45.427200,44.482296,14805000
2014-12-09,45.119999,45.444801,44.511200,45.407200,44.462715,16950000
2014-12-10,45.272400,45.467201,44.484001,44.620800,43.692677,16782500
2014-12-11,44.775600,45.093201,44.468399,44.570801,43.643715,13662500
2014-12-12,44.345200,44.792801,44.140800,44.159599,43.241066,16800000
2014-12-15,44.284000,44.466801,43.074001,43.145599,42.248154,22215000
2014-12-16,42.702000,42.931599,41.810001,41.833599,40.963455,27752500
2014-12-17,42.015999,43.113998,41.720798,43.013599,42.118904,22252500
2014-12-18,43.556801,44.359600,43.526001,44.183201,43.264175,30757500
2014-12-19,44.417999,44.562801,43.883598,44.377998,43.454922,25210000
2014-12-22,44.440399,46.096001,44.428799,45.975201,45.018906,22755000
2014-12-23,46.225601,46.342400,45.637199,45.904400,44.949577,14612500
2014-12-24,45.919998,46.096001,45.721600,45.991199,45.034573,4162500
